Id,Signatory,Language,Order,Action_Id,Climate_Hazard
72927,Autonomous Community of Catalonia,en,3,3,Heat stress
72927,Autonomous Community of Catalonia,en,3,3,Increased water demand
72927,Autonomous Community of Catalonia,en,3,3,Extreme heat
72927,Autonomous Community of Catalonia,en,3,3,Drought
72927,Autonomous Community of Catalonia,en,4,4,Loss of green space/green cover
72927,Autonomous Community of Catalonia,en,4,4,Fire weather (risk of wildfires)
72927,Autonomous Community of Catalonia,en,4,4,Coastal flooding (incl. sea level rise)
72927,Autonomous Community of Catalonia,en,4,4,River flooding
72927,Autonomous Community of Catalonia,en,4,4,Urban flooding
72927,Autonomous Community of Catalonia,en,4,4,Water stress
72927,Autonomous Community of Catalonia,en,4,4,Heat stress
72927,Autonomous Community of Catalonia,en,4,4,Heavy precipitation
72927,Autonomous Community of Catalonia,en,4,4,Increased water demand
72927,Autonomous Community of Catalonia,en,4,4,Extreme heat
72927,Autonomous Community of Catalonia,en,4,4,Drought
72927,Autonomous Community of Catalonia,en,5,5,Soil degradation/erosion
72927,Autonomous Community of Catalonia,en,5,5,Mass movement
72927,Autonomous Community of Catalonia,en,6,6,Fire weather (risk of wildfires)
72927,Autonomous Community of Catalonia,en,6,6,Extreme cold
72927,Autonomous Community of Catalonia,en,6,6,Water stress
72927,Autonomous Community of Catalonia,en,6,6,Heat stress
72927,Autonomous Community of Catalonia,en,6,6,Snow and ice
72927,Autonomous Community of Catalonia,en,6,6,Increased water demand
72927,Autonomous Community of Catalonia,en,6,6,Extreme heat
72927,Autonomous Community of Catalonia,en,6,6,Drought
72927,Autonomous Community of Catalonia,en,7,7,Coastal flooding (incl. sea level rise)
72927,Autonomous Community of Catalonia,en,8,8,Oceanic events
72927,Autonomous Community of Catalonia,en,9,9,Biodiversity loss
72927,Autonomous Community of Catalonia,en,9,9,Fire weather (risk of wildfires)
72927,Autonomous Community of Catalonia,en,9,9,Extreme heat
826431,Municipality of Loulé,en,43,43,Heavy precipitation
826431,Municipality of Loulé,en,43,43,Drought
73193,State of Styria,en,4,4,Heat stress
73193,State of Styria,en,4,4,Extreme heat
72927,Autonomous Community of Catalonia,en,10,10,"Other, please specify"
72920,Autonomous Community of Galicia,en,1,1,Urban flooding
72920,Autonomous Community of Galicia,en,1,1,Coastal flooding (incl. sea level rise)
72920,Autonomous Community of Galicia,en,1,1,River flooding
72920,Autonomous Community of Galicia,en,1,1,Fire weather (risk of wildfires)
72920,Autonomous Community of Galicia,en,1,1,Water stress
72920,Autonomous Community of Galicia,en,1,1,Increased water demand
72920,Autonomous Community of Galicia,en,1,1,Drought
72920,Autonomous Community of Galicia,en,2,2,Soil degradation/erosion
72920,Autonomous Community of Galicia,en,2,2,Loss of green space/green cover
73193,State of Styria,en,9,9,Storm
73193,State of Styria,en,9,9,Soil degradation/erosion
73193,State of Styria,en,9,9,Fire weather (risk of wildfires)
73193,State of Styria,en,9,9,Urban flooding
73193,State of Styria,en,9,9,Mass movement
73193,State of Styria,en,9,9,River flooding
73193,State of Styria,en,9,9,Water stress
73193,State of Styria,en,9,9,Heat stress
73193,State of Styria,en,9,9,Heavy precipitation
73193,State of Styria,en,9,9,Extreme wind
73193,State of Styria,en,9,9,Drought
54510,Umeå Municipality,en,2,2,Heavy precipitation
54510,Umeå Municipality,en,2,2,Extreme heat
72920,Autonomous Community of Galicia,en,3,3,Storm
72920,Autonomous Community of Galicia,en,3,3,Coastal flooding (incl. sea level rise)
72920,Autonomous Community of Galicia,en,3,3,Oceanic events
72920,Autonomous Community of Galicia,en,3,3,Other coastal events
72920,Autonomous Community of Galicia,en,4,4,Soil degradation/erosion
72920,Autonomous Community of Galicia,en,4,4,Loss of green space/green cover
72920,Autonomous Community of Galicia,en,5,5,Biodiversity loss
72920,Autonomous Community of Galicia,en,5,5,Soil degradation/erosion
72920,Autonomous Community of Galicia,en,5,5,River flooding
72920,Autonomous Community of Galicia,en,5,5,Water stress
72920,Autonomous Community of Galicia,en,5,5,Increased water demand
72920,Autonomous Community of Galicia,en,5,5,Loss of green space/green cover
72920,Autonomous Community of Galicia,en,6,6,Biodiversity loss
72920,Autonomous Community of Galicia,en,6,6,Soil degradation/erosion
72920,Autonomous Community of Galicia,en,6,6,Fire weather (risk of wildfires)
72920,Autonomous Community of Galicia,en,6,6,Water stress
72924,Autonomous Community of Navarre,en,1,1,"Other, please specify"
72926,Autonomous Community of the Basque Country,en,1,1,Soil degradation/erosion
72926,Autonomous Community of the Basque Country,en,1,1,Storm
72926,Autonomous Community of the Basque Country,en,1,1,Biodiversity loss
72926,Autonomous Community of the Basque Country,en,1,1,Urban flooding
72926,Autonomous Community of the Basque Country,en,1,1,Coastal flooding (incl. sea level rise)
72926,Autonomous Community of the Basque Country,en,1,1,River flooding
72926,Autonomous Community of the Basque Country,en,1,1,Water stress
72926,Autonomous Community of the Basque Country,en,1,1,Heat stress
72926,Autonomous Community of the Basque Country,en,1,1,Heavy precipitation
72926,Autonomous Community of the Basque Country,en,1,1,Other forms of climate-induced landscape shift/degradation
72926,Autonomous Community of the Basque Country,en,1,1,Loss of green space/green cover
72926,Autonomous Community of the Basque Country,en,1,1,Extreme heat
72926,Autonomous Community of the Basque Country,en,2,2,River flooding
72926,Autonomous Community of the Basque Country,en,4,4,Coastal flooding (incl. sea level rise)
72926,Autonomous Community of the Basque Country,en,5,5,Soil degradation/erosion
72926,Autonomous Community of the Basque Country,en,5,5,Biodiversity loss
72926,Autonomous Community of the Basque Country,en,5,5,Urban flooding
72926,Autonomous Community of the Basque Country,en,5,5,Mass movement
72926,Autonomous Community of the Basque Country,en,5,5,River flooding
72926,Autonomous Community of the Basque Country,en,5,5,Water stress
72926,Autonomous Community of the Basque Country,en,5,5,Heavy precipitation
72926,Autonomous Community of the Basque Country,en,5,5,Other forms of climate-induced landscape shift/degradation
72926,Autonomous Community of the Basque Country,en,5,5,Other coastal events
72926,Autonomous Community of the Basque Country,en,5,5,Extreme heat
72926,Autonomous Community of the Basque Country,en,5,5,Storm
72926,Autonomous Community of the Basque Country,en,5,5,Fire weather (risk of wildfires)
72926,Autonomous Community of the Basque Country,en,5,5,Coastal flooding (incl. sea level rise)
72926,Autonomous Community of the Basque Country,en,5,5,Heat stress
72926,Autonomous Community of the Basque Country,en,5,5,Loss of green space/green cover
72926,Autonomous Community of the Basque Country,en,6,6,Urban flooding
