Id,Signatory,Language,Order,Adaptation_Goal_Id,Climate_Hazard
31163,Istanbul Metropolitan Municipality,en,5,5,Urban flooding
31163,Istanbul Metropolitan Municipality,en,5,5,Coastal flooding (incl. sea level rise)
31163,Istanbul Metropolitan Municipality,en,5,5,River flooding
31163,Istanbul Metropolitan Municipality,en,5,5,Mass movement
31163,Istanbul Metropolitan Municipality,en,5,5,Heavy precipitation
31163,Istanbul Metropolitan Municipality,en,6,4,Biodiversity loss
31163,Istanbul Metropolitan Municipality,en,6,4,Soil degradation/erosion
31163,Istanbul Metropolitan Municipality,en,6,4,Urban flooding
31163,Istanbul Metropolitan Municipality,en,6,4,Coastal flooding (incl. sea level rise)
31163,Istanbul Metropolitan Municipality,en,6,4,Mass movement
31163,Istanbul Metropolitan Municipality,en,6,4,River flooding
31163,Istanbul Metropolitan Municipality,en,6,4,Water stress
31163,Istanbul Metropolitan Municipality,en,6,4,Heavy precipitation
31163,Istanbul Metropolitan Municipality,en,6,4,Increased water demand
31163,Istanbul Metropolitan Municipality,en,6,4,Loss of green space/green cover
31163,Istanbul Metropolitan Municipality,en,6,4,Drought
31163,Istanbul Metropolitan Municipality,en,7,6,Biodiversity loss
31163,Istanbul Metropolitan Municipality,en,7,6,Urban flooding
31163,Istanbul Metropolitan Municipality,en,7,6,Mass movement
31163,Istanbul Metropolitan Municipality,en,7,6,Heat stress
31163,Istanbul Metropolitan Municipality,en,7,6,Loss of green space/green cover
31163,Istanbul Metropolitan Municipality,en,7,6,Extreme heat
31163,Istanbul Metropolitan Municipality,en,8,1,Water stress
31163,Istanbul Metropolitan Municipality,en,8,1,Increased water demand
31163,Istanbul Metropolitan Municipality,en,8,1,Drought
31163,Istanbul Metropolitan Municipality,en,9,3,Heat stress
31163,Istanbul Metropolitan Municipality,en,9,3,Extreme heat
60125,Klaipėda City Municipality,en,1,1,Heat stress
60125,Klaipėda City Municipality,en,1,1,Extreme heat
831674,Municipality of Amarante,en,1,6,"Other, please specify"
