Id,Language,Signatory,Climate_Action_Plan_Id,Sector
36152,en,City of Tallinn,2,Real estate activities
36152,en,City of Tallinn,2,"Professional, scientific and technical activities"
36152,en,City of Tallinn,2,Water supply
36152,en,City of Tallinn,2,"Electricity, gas, steam and air conditioning supply"
54403,en,City of Tampere,1,"Sewerage, wastewater management and remediation activities"
54403,en,City of Tampere,1,Construction
54403,en,City of Tampere,1,Administrative and support service activities
54403,en,City of Tampere,1,"Other, please specify"
54403,en,City of Tampere,1,Waste management
54403,en,City of Tampere,1,Education
54403,en,City of Tampere,1,Conservation
60126,en,City of Tartu,1,"Sewerage, wastewater management and remediation activities"
60126,en,City of Tartu,1,Construction
60126,en,City of Tartu,1,Financial and insurance activities
60126,en,City of Tartu,1,Information and communication
60126,en,City of Tartu,1,Administrative and support service activities
60126,en,City of Tartu,1,Waste management
60126,en,City of Tartu,1,Human health and social work activities
60126,en,City of Tartu,1,Real estate activities
60126,en,City of Tartu,1,Transportation and storage
60126,en,City of Tartu,1,"Professional, scientific and technical activities"
60126,en,City of Tartu,1,"Electricity, gas, steam and air conditioning supply"
60126,en,City of Tartu,1,Conservation
50154,en,City of Turku,1,"Sewerage, wastewater management and remediation activities"
50154,en,City of Turku,1,Agriculture
50154,en,City of Turku,1,Water supply
50154,en,City of Turku,1,"Electricity, gas, steam and air conditioning supply"
50154,en,City of Turku,1,Forestry
50154,en,City of Turku,1,Manufacturing
31185,en,City of Warsaw,1,"Sewerage, wastewater management and remediation activities"
31185,en,City of Warsaw,1,Human health and social work activities
31185,en,City of Warsaw,1,Water supply
31185,en,City of Warsaw,1,Forestry
31185,en,City of Warsaw,3,Construction
31185,en,City of Warsaw,3,Administrative and support service activities
31185,en,City of Warsaw,3,"Other, please specify"
31185,en,City of Warsaw,3,Waste management
31185,en,City of Warsaw,3,Education
31185,en,City of Warsaw,3,Transportation and storage
31185,en,City of Warsaw,3,Water supply
31185,en,City of Warsaw,3,Manufacturing
31185,en,City of Warsaw,5,"Sewerage, wastewater management and remediation activities"
31185,en,City of Warsaw,5,Mining and quarrying
31185,en,City of Warsaw,5,Information and communication
31185,en,City of Warsaw,5,Waste management
31185,en,City of Warsaw,5,Education
31185,en,City of Warsaw,5,Agriculture
31185,en,City of Warsaw,5,Human health and social work activities
31185,en,City of Warsaw,5,Water supply
31185,en,City of Warsaw,5,Forestry
31185,en,City of Warsaw,5,Manufacturing
31185,en,City of Warsaw,5,Conservation
31185,en,City of Warsaw,5,Fishing
43921,en,City of Zagreb,1,"Sewerage, wastewater management and remediation activities"
43921,en,City of Zagreb,1,Construction
43921,en,City of Zagreb,1,Information and communication
43921,en,City of Zagreb,1,Education
43921,en,City of Zagreb,1,Waste management
43921,en,City of Zagreb,1,Agriculture
43921,en,City of Zagreb,1,Human health and social work activities
43921,en,City of Zagreb,1,Real estate activities
43921,en,City of Zagreb,1,"Arts, entertainment and recreation"
43921,en,City of Zagreb,1,Water supply
43921,en,City of Zagreb,1,"Electricity, gas, steam and air conditioning supply"
43921,en,City of Zagreb,1,Manufacturing
43921,en,City of Zagreb,1,Conservation
31009,en,Copenhagen Municipality,1,Waste management
31009,en,Copenhagen Municipality,1,Transportation and storage
31009,en,Copenhagen Municipality,1,"Electricity, gas, steam and air conditioning supply"
31009,en,Copenhagen Municipality,2,"Sewerage, wastewater management and remediation activities"
31009,en,Copenhagen Municipality,2,Construction
31009,en,Copenhagen Municipality,2,Waste management
31009,en,Copenhagen Municipality,2,Education
31009,en,Copenhagen Municipality,2,Transportation and storage
31009,en,Copenhagen Municipality,2,"Electricity, gas, steam and air conditioning supply"
31009,en,Copenhagen Municipality,2,Forestry
31009,en,Copenhagen Municipality,2,Manufacturing
31009,en,Copenhagen Municipality,3,"Sewerage, wastewater management and remediation activities"
31009,en,Copenhagen Municipality,3,Construction
31009,en,Copenhagen Municipality,3,Education
31009,en,Copenhagen Municipality,3,Waste management
31009,en,Copenhagen Municipality,3,Transportation and storage
31009,en,Copenhagen Municipality,3,"Electricity, gas, steam and air conditioning supply"
31009,en,Copenhagen Municipality,3,Forestry
31009,en,Copenhagen Municipality,3,Manufacturing
31009,en,Copenhagen Municipality,4,"Sewerage, wastewater management and remediation activities"
31009,en,Copenhagen Municipality,5,"Sewerage, wastewater management and remediation activities"
31009,en,Copenhagen Municipality,6,"Sewerage, wastewater management and remediation activities"
31009,en,Copenhagen Municipality,6,"Other, please specify"
31009,en,Copenhagen Municipality,7,"Other, please specify"
62868,en,Eskişehir Metropolitan Municipality,1,"Sewerage, wastewater management and remediation activities"
62868,en,Eskişehir Metropolitan Municipality,1,Administrative and support service activities
62868,en,Eskişehir Metropolitan Municipality,1,Waste management
62868,en,Eskişehir Metropolitan Municipality,1,Agriculture
62868,en,Eskişehir Metropolitan Municipality,1,Human health and social work activities
62868,en,Eskişehir Metropolitan Municipality,1,Transportation and storage
62868,en,Eskişehir Metropolitan Municipality,1,Water supply
62868,en,Eskişehir Metropolitan Municipality,1,"Electricity, gas, steam and air conditioning supply"
62868,en,Eskişehir Metropolitan Municipality,1,Accommodation and food service activities
62868,en,Eskişehir Metropolitan Municipality,1,Manufacturing
31163,en,Istanbul Metropolitan Municipality,1,"Sewerage, wastewater management and remediation activities"
31163,en,Istanbul Metropolitan Municipality,1,Construction
31163,en,Istanbul Metropolitan Municipality,1,Education
31163,en,Istanbul Metropolitan Municipality,1,Agriculture
31163,en,Istanbul Metropolitan Municipality,1,Waste management
31163,en,Istanbul Metropolitan Municipality,1,Human health and social work activities
31163,en,Istanbul Metropolitan Municipality,1,Transportation and storage
31163,en,Istanbul Metropolitan Municipality,1,"Professional, scientific and technical activities"
31163,en,Istanbul Metropolitan Municipality,1,Water supply
31163,en,Istanbul Metropolitan Municipality,1,"Electricity, gas, steam and air conditioning supply"
31163,en,Istanbul Metropolitan Municipality,1,Forestry
31163,en,Istanbul Metropolitan Municipality,1,Accommodation and food service activities
31163,en,Istanbul Metropolitan Municipality,1,Manufacturing
31163,en,Istanbul Metropolitan Municipality,2,"Sewerage, wastewater management and remediation activities"
31163,en,Istanbul Metropolitan Municipality,2,Construction
31163,en,Istanbul Metropolitan Municipality,2,Waste management
31163,en,Istanbul Metropolitan Municipality,2,Education
31163,en,Istanbul Metropolitan Municipality,2,Agriculture
31163,en,Istanbul Metropolitan Municipality,2,Human health and social work activities
31163,en,Istanbul Metropolitan Municipality,2,Transportation and storage
31163,en,Istanbul Metropolitan Municipality,2,"Professional, scientific and technical activities"
31163,en,Istanbul Metropolitan Municipality,2,Water supply
31163,en,Istanbul Metropolitan Municipality,2,Forestry
